ProviderID,Source,Location,Contact Number,Type,Latitude,Longitude,CMS Rating,Availability,Cost
1,Supplier Directory,"PALMER EYE CARE PC, 313 W CHURCH ST, ALBION, NE",4023952082,Optometrist,41.69176,-98.00011,4,12,600
2,Supplier Directory,"WAL-MART STORES EAST LP, 904 CYPRESS PKWY, POINCIANA, FL",4078702501,Pharmacy|Optician,28.14692,-81.44794,5,12,400
3,Supplier Directory,"WAL-MART STORES EAST LP, 15445 HIGHWAY 24, MOULTON, AL",2569741597,Pharmacy|Optician,34.49278,-87.27448,4,12,600
4,Supplier Directory,"SOUTH CAROLINA CVS PHARMACY LLC, 1211 HWY 301 N, DILLON, SC",8437745616,Pharmacy,34.42736,-79.36287,4,12,200
5,Supplier Directory,"WAL-MART STORES EAST LP, 1600 FEDERAL DR, MONTGOMERY, AL",3347775871,Pharmacy,32.405,-86.26605,4,12,1000
6,Supplier Directory,"MARISA TRADING CORP, 52 NEW HARTFORD SHOPPING CTR, NEW HARTFORD, NY",3157322125,Optometrist|Optician,43.07815,-75.29205,4,12,800
7,Supplier Directory,"SALEM DRUG COMPANY INC, 502 HIGHWAY 62 W, SALEM, AR",8708957455,Pharmacy,36.37086,-91.83466,5,12,400
8,Supplier Directory,"SOUTH CAROLINA CVS PHARMACY LLC, 7697 CHARLOTTE HWY, INDIAN LAND, SC",8033961525,Pharmacy,34.93453,-80.83589,5,12,200
9,Supplier Directory,"MEDICAL SERVICES OF AMERICA INC, 1001 N WASHINGTON ST, ARDMORE, OK",5802265380,Medical Supply Company Other,34.18316,-97.12449,5,12,1000
10,Supplier Directory,"WALGREEN CO, 5500 COUNTY FARM RD, HANOVER PARK, IL",6302131809,Pharmacy,41.97344,-88.15041,5,12,1000
11,Supplier Directory,"PUBLIX SUPER MARKETS INC, 10128 TWO NOTCH RD, COLUMBIA, SC",8037881655,Pharmacy|Grocery Store,34.11607,-80.88536,4,12,1000
12,Supplier Directory,"CORNER DRUG STORE OF STURGIS LLC, 424 N ADAMS ST, STURGIS, KY",2703335341,Pharmacy,37.54508,-87.98537,1,12,1000
13,Supplier Directory,"HEARTLAND EYE CARE, PC, 915 PARK ST E, PARK RIVER, ND",7012847330,Optometrist,48.39821,-97.74,4,12,1000
14,Supplier Directory,"FRED MEYER STORES INC, 9925 STATE AVE, MARYSVILLE, WA",3606530733,Pharmacy|Department Store|Grocery Store,48.08513,-122.17215,5,12,400
15,Supplier Directory,"PULMONAIRE SERVICE, INC., 836 MCCALLIE AVE, CHATTANOOGA, TN",4237567050,Medical Supply Company Other|MSC With Respiratory Therapist,35.04308,-85.29427,5,12,800
16,Supplier Directory,"EMPIRE HOME INFUSION SERVICE INC, 10 BLACKSMITH DR, MALTA, NY",5188998103,Certified Other|Pharmacy,42.96978,-73.79386,5,12,600
17,Supplier Directory,"SERVICE DRUG, INC, 104 E 6TH ST, ALLIANCE, NE",3087622877,Medical Supply Company Other|Prosthetic Personnel,42.10026,-102.87044,2,12,200
18,Supplier Directory,"WALGREEN CO, 1902 W FRANKLIN BLVD, GASTONIA, NC",7048644590,Pharmacy,35.25959,-81.21803,5,12,400
19,Supplier Directory,"WALGREEN CO, 1905 N 2ND ST, CLINTON, IA",5632432247,Pharmacy,41.86742,-90.1816,5,12,1000
20,Supplier Directory,"ALTMAN EYE CLINIC, P.C., 11 W PINE ST, MC RAE, GA",2298686312,Optometrist,32.06688,-82.89883,5,12,600
21,Supplier Directory,"ASTRUP DRUG INC, 1312 NORTHLAND DR, MENDOTA HEIGHTS, MN",6514125939,Pharmacy,44.86354,-93.16275,5,12,200
22,Supplier Directory,"FROEDTERT HEALTH PHARMACY LLC, 7901 S 6TH ST, OAK CREEK, WI",4143468050,Pharmacy,42.90055,-87.92078,5,12,800
23,Supplier Directory,"ANATOMICAL DESIGNS, INC., 511 BURROUGHS ST, MORGANTOWN, WV",3042849190,Orthotic Personnel|Prosthetic Personnel,39.65739,-79.97035,5,12,200
24,Supplier Directory,"SAMS EAST INC, 5450 CARPENTER RD, YPSILANTI, MI",7344342587,Pharmacy,42.21109,-83.6797,5,12,800
25,Supplier Directory,"WAL-MART STORES EAST LP, 306 N GENERALS BLVD, LINCOLNTON, NC",7047323095,Pharmacy|Optician,35.4838,-81.24267,4,12,600
26,Supplier Directory,"DISCOUNT DRUG MART INC, 5923 WOOSTER PIKE, MEDINA, OH",3307210600,Pharmacy,41.1127,-81.86421,3,12,800
27,Supplier Directory,"POTOMIC MEDICAL SUPPLIES INC, 8957 EDMONSTON RD, GREENBELT, MD",3012700612,Medical Supply Company Other,39.00707,-76.89945,5,12,400
28,Supplier Directory,"TRUBI1 LLC, 200 WESLEY DR, KERRVILLE, TX",8308960167,Pharmacy,30.04581,-99.15109,3,12,400
29,Supplier Directory,"WALGREEN CO, 977 ELLIS AVE, JACKSON, MS",6019449965,Pharmacy,32.30632,-90.22788,5,12,400
30,Supplier Directory,"ORTHOTIC PROSTHETIC CENTER INC, 419 N REYNOLDS RD, TOLEDO, OH",4195312222,MSC With Orthotic Personnel|MSC With Prosthetic Personnel|MSC With Orthotic-Prosthetic|Orthotic Personnel|Prosthetic Personnel,41.64353,-83.6647,5,12,1000
31,Supplier Directory,"DOCTOR'S PHARMACY-VITAL CARE, INC., 611-B EAST LAMAR STREET, AMERICUS, GA",2299289010,Pharmacy,32.07119781,-84.22508962,5,12,800
32,Supplier Directory,"WALMART INC, 700 MIKES PIKE ST, WINSLOW, AZ",9282893301,Pharmacy|Optician,35.04072,-110.70059,5,12,600
33,Supplier Directory,"SMITH TURNER DRUGSTORE INC, 140 CHURCH ST, SNEEDVILLE, TN",4237332322,Pharmacy,36.53104,-83.21662,2,12,800
34,Supplier Directory,"WALGREEN CO, 525 PRESTONSBURG ST, WEST LIBERTY, KY",6067433425,Pharmacy,37.92107,-83.25402,3,12,1000
35,Supplier Directory,"GARFIELD BEACH CVS LLC, 16858 GOLDEN VALLEY PKWY, LATHROP, CA",2092425041,Pharmacy,37.80846,-121.29871,2,12,200
36,Supplier Directory,"MISSOURI CVS PHARMACY LLC, 601 CENTER DR, SAINTE GENEVIEVE, MO",5738835788,Pharmacy,37.96896,-90.05199,5,12,200
37,Supplier Directory,"WAL-MART STORES TEXAS, LLC, 2610 W DICKINSON BLVD, FORT STOCKTON, TX",4323367531,Pharmacy,30.89417,-102.90719,1,12,400
38,Supplier Directory,"GEORGIA CVS PHARMACY, L.L.C., 795 OGLETHORPE AVE, ATHENS, GA",7065496838,Pharmacy,33.96221,-83.41301,5,12,600
39,Supplier Directory,"HOME CARE OXYGEN SERVICE INC, 7942 COLLEGE RD, BAXTER, MN",2188284710,Medical Supply Company Other,46.34474,-94.23435,5,12,200
40,Supplier Directory,"EL SALVADOR MEDICAL AND HOMECARE EQUIPMENT, INC, PLAZA JARDINES CARR #2 KM 40.2, VEGA BAJA, PR",7878071111,Medical Supply Company Other,18.44729,-66.38585,4,12,400
41,Supplier Directory,"BRAINERD MEDICAL CENTER INC, 280 BARCLAY AVE W, PINE RIVER, MN",2185873222,Pharmacy,46.68526,-94.38808,3,12,600
42,Supplier Directory,"WEIS MARKETS INC, 26075 RIDGE RD, DAMASCUS, MD",3012539418,Pharmacy,39.2844,-77.21008,5,12,800
43,Supplier Directory,"WALGREEN CO, 225 STATE HIGHWAY 30 W, NEW ALBANY, MS",6625348044,Pharmacy,34.49776,-89.03043,3,12,400
