ProviderID,Source,Location,Contact Number,Type,Latitude,Longitude,CMS Rating,Availability,Cost
1,Supplier Directory,"WALGREEN CO, 9423 SPRING GREEN BLVD, KATY, TX",2817124084,Pharmacy,29.70003,-95.81388,3,12,400
2,Supplier Directory,"PALMER EYE CARE PC, 313 W CHURCH ST, ALBION, NE",4023952082,Optometrist,41.69176,-98.00011,4,12,600
3,Supplier Directory,"STORY AVE 24, LLC, 1903 STORY AVE, BRONX, NY",7188222923,Pharmacy,40.82424621,-73.85951677,2,12,200
4,Supplier Directory,"HARRIS TEETER LLC, 3865 W ASHLEY CIR, CHARLESTON, SC",8436192921,Pharmacy,32.84094,-80.0959,5,12,1000
5,Supplier Directory,"WAL-MART STORES EAST LP, 904 CYPRESS PKWY, POINCIANA, FL",4078702501,Pharmacy|Optician,28.14692,-81.44794,5,12,800
6,Supplier Directory,"SLEEP BETTER AUSTIN TREATMENT PLLC, 4460 S FM 1626, KYLE, TX",5.12215E+12,MSC With Orthotic-Prosthetic,30.02371101,-97.87309202,3,12,800
7,Supplier Directory,"WAL-MART STORES EAST LP, 15445 HIGHWAY 24, MOULTON, AL",2569741597,Pharmacy|Optician,34.49278,-87.27448,4,12,400
8,Supplier Directory,"WEIS MARKETS INC, 1100 N 4TH ST, SUNBURY, PA",5702860276,Certified Other|Pharmacy|Grocery Store,40.87304,-76.78464,2,12,200
9,Supplier Directory,"WALGREEN CO, 1641 23RD AVE, GREELEY, CO",9703561177,Pharmacy,40.41259,-104.71605,2,12,1000
10,Supplier Directory,"PUBLIX SUPER MARKETS INC, 5450 E BUSCH BLVD, TEMPLE TERRACE, FL",8139806634,Pharmacy,28.0327,-82.39629,3,12,1000
11,Supplier Directory,"HIGHLAND PARK CVS LLC, 1 S STATE ST, CHICAGO, IL",3122792134,Pharmacy,41.88139,-87.62763,1,12,1000
12,Supplier Directory,"TOTAL CARE RX PHARMACY INC, 18682 BEACH BLVD, HUNTINGTON BEACH, CA",7149644004,Pharmacy,33.69119,-117.98862,2,12,1000
13,Supplier Directory,"GERMAN DOBSON CVS, L.L.C., 3170 S HIGLEY RD, GILBERT, AZ",4802795517,Pharmacy,33.29386,-111.72109,1,12,1000
14,Supplier Directory,"AURORA PHARMACY INC, 135 JACKSON ST, OSHKOSH, WI",9203038140,Pharmacy,44.01728,-88.54266,3,12,1000
15,Supplier Directory,"PINK RIBBON BOUTIQUE LLC, 18 VILLAGE SQ, SMYRNA, DE",3022236889,MSC With Prosthetic Personnel|Prosthetic Personnel,39.25829,-75.58688,1,12,400
16,Supplier Directory,"SOUTH CAROLINA CVS PHARMACY LLC, 1211 HWY 301 N, DILLON, SC",8437745616,Pharmacy,34.42736,-79.36287,4,12,800
17,Supplier Directory,"WALGREEN CO, 3351 W MAIN ST, ST CHARLES, IL",6304438735,Pharmacy,41.91653,-88.36031,4,12,600
18,Supplier Directory,"WAL-MART STORES EAST LP, 1600 FEDERAL DR, MONTGOMERY, AL",3347775871,Pharmacy,32.405,-86.26605,4,12,200
19,Supplier Directory,"KROGER LIMITED PARTNERSHIP I, 7805 TIMBERLAKE RD, LYNCHBURG, VA",4342375839,Pharmacy|Grocery Store,37.35315,-79.22552,1,12,400
20,Supplier Directory,"MARISA TRADING CORP, 52 NEW HARTFORD SHOPPING CTR, NEW HARTFORD, NY",3157322125,Optometrist|Optician,43.07815,-75.29205,4,12,800
21,Supplier Directory,"WALGREEN CO, 1722 W WALNUT ST, ROGERS, AR",4792460196,Pharmacy,36.33346,-94.14183,2,12,1000
22,Supplier Directory,"ORANGE COAST RESPIRATORY CARE SERVICES, INC.., 755 S HAYWOOD ST, WAYNESVILLE, NC",8284521018,MSC With Respiratory Therapist,35.48646,-82.99146,2,12,600
23,Supplier Directory,"STEVENS COMMUNITY MEDICAL CENTER INC, 400 E 1ST ST, MORRIS, MN",3205897653,Optometrist,45.58539,-95.90492,1,12,200
