Provider ID,Provider Name & Address,Type,Rating,Cost,Contact Number
3042,"WALGREEN CO, 9423 SPRING GREEN BLVD, KATY, TX",Pharmacy,3,400,2817124084.0
3043,"STORY AVE 24, LLC, 1903 STORY AVE, BRONX, NY",Pharmacy,2,2000,7188222923.0
3044,"HARRIS TEETER LLC, 3865 W ASHLEY CIR, CHARLESTON, SC",Pharmacy,5,5000,8436192921.0
3045,"SLEEP BETTER AUSTIN TREATMENT PLLC, 4460 S FM 1626, KYLE, TX",MSC With Orthotic-Prosthetic,3,5000,5120000000000.0
3046,"WEIS MARKETS INC, 1100 N 4TH ST, SUNBURY, PA",Certified Other|Pharmacy|Grocery Store,2,5000,5702860276.0
3047,"WALGREEN CO, 1641 23RD AVE, GREELEY, CO",Pharmacy,2,3000,9703561177.0
3048,"PUBLIX SUPER MARKETS INC, 5450 E BUSCH BLVD, TEMPLE TERRACE, FL",Pharmacy,3,3000,8139806634.0
3049,"HIGHLAND PARK CVS LLC, 1 S STATE ST, CHICAGO, IL",Pharmacy,1,2000,3122792134.0
3050,"TOTAL CARE RX PHARMACY INC, 18682 BEACH BLVD, HUNTINGTON BEACH, CA",Pharmacy,2,4000,7149644004.0
3051,"GERMAN DOBSON CVS, L.L.C., 3170 S HIGLEY RD, GILBERT, AZ",Pharmacy,1,2000,4802795517.0
3052,"AURORA PHARMACY INC, 135 JACKSON ST, OSHKOSH, WI",Pharmacy,3,3000,9203038140.0
3053,"PINK RIBBON BOUTIQUE LLC, 18 VILLAGE SQ, SMYRNA, DE",MSC With Prosthetic Personnel|Prosthetic Personnel,1,3000,3022236889.0
3054,"WALGREEN CO, 3351 W MAIN ST, ST CHARLES, IL",Pharmacy,4,5000,6304438735.0
3055,"KROGER LIMITED PARTNERSHIP I, 7805 TIMBERLAKE RD, LYNCHBURG, VA",Pharmacy|Grocery Store,1,4000,4342375839.0
3056,"WALGREEN CO, 1722 W WALNUT ST, ROGERS, AR",Pharmacy,2,2000,4792460196.0
3057,"ORANGE COAST RESPIRATORY CARE SERVICES, INC.., 755 S HAYWOOD ST, WAYNESVILLE, NC",MSC With Respiratory Therapist,2,3000,8284521018.0
